time,numWorkers
949257,1
1222278,2
1268214,3
2018767,4
2055567,5
2075478,6
2235912,7
2649855,8
225824273,7
225877568,8
237705222,7
237755819,8
265120299,7
265149524,8
292907148,7
292936508,8
308482577,7
308517259,8
308530581,7
308570603,8
310037212,7
310070572,8
312349757,7
312378715,8
455490061,7
455539670,8
494565125,7
494594437,8
525585408,7
525614825,8
538146353,7
538194259,8
575640309,7
575672209,8
581366681,7
581400284,8
590022885,7
590073228,8
592760802,7
592870268,8
784290946,7
784329503,8
803669601,7
803744616,8
810926815,7
810969837,8
820382124,7
820408198,8
841572505,7
841611125,8
858899413,7
858930724,8
863334803,7
863344312,6
863374662,7
863442358,8
1068338684,7
1068364277,8
1087738146,7
1087765509,8
1095119782,7
1095161801,8
1111902883,7
1111927911,8
1125587340,7
1125615883,8
1150854329,7
1150903118,8
1154719940,7
1154746731,8
1155093744,7
1155158974,8
1351916736,7
1351944804,8
1354242829,7
1354301389,8
1385095356,7
1385122654,8
1387018938,7
1387044950,8
1392545974,7
1392587353,8
1425437388,7
1425464003,8
1429625447,7
1429659186,8
1429999718,7
1430035222,8
1618533123,7
1618583415,8
1621258972,7
1621298614,8
1653742670,7
1653782718,8
1659421734,7
1659463425,8
1661724166,7
1661764001,8
1692270358,7
1692302737,8
1696621501,7
1696650529,8
1696902216,7
1696930447,8
1885404942,7
1885446343,8
1887920949,7
1888014245,8
1920488524,7
1920515711,8
1926036501,7
1926145155,8
1928282616,7
1928305039,8
1975653510,7
1975692536,8
1988314241,7
1988340368,8
1988711902,7
1988739629,8
2161905969,7
2161938659,8
2176165042,7
2176198173,8
2217097116,7
2217153304,8
2220798466,7
2220925188,8
2235770430,7
2235792485,8
2271974218,7
2271998542,8
2274245587,7
2274284139,8
2292538990,7
2292574170,8
2428642129,7
2428664870,8
2459639113,7
2459678030,8
2483476901,7
2483498639,8
2486132935,7
2486153313,8
2503915656,7
2503938908,8
2547162090,7
2547205290,8
2559348179,7
2559374973,8
2563331475,7
2563354668,8
2699268095,7
2699297527,8
2754105502,7
2754125912,8
2795849187,7
2795872304,8
2819581253,7
2819600773,8
2825935988,7
2825967191,8
2829960376,7
2829983874,8
2830473971,7
2830577565,8
3020881927,7
3020956432,8
3033778582,7
3033810930,8
3039541427,7
3039580070,8
3099272715,7
3099292296,8
3109204230,7
3109222745,8
3113256131,7
3113277185,8
3113884459,7
3113919542,8
3122246834,7
3122265743,8
3304208604,7
3304229438,8
3376053632,7
3376081286,8
3380621284,7
3380700186,8
3429971023,7
3430016713,8
3492235158,7
3492256360,8
3545887756,7
3545901126,8
3560541601,7
3560571032,8
3570752265,7
3570768960,8
3573333214,7
3647816766,6
3647844606,7
3650685675,6
3659394106,5
3659415729,6
3662192748,5
3688963660,4
3688982858,5
3691854234,4
3761501713,3
3761526375,4
3762353561,3
3762372783,4
3765255345,3
3808626419,2
3808648928,3
3811455775,2
3869162535,1
3869187972,2
3871607037,1
4457087272,0
4457115229,1
4809547581,0
4809577941,1
4810809415,0
